strategy,family,score,dev_sharpe,holdout_sharpe,dev_cagr,holdout_cagr,max_drawdown,calmar,psr,annual_turnover,top_name_share,stability,degradation,fails_pre_ai_rally,stressed_sharpe,cost_fragile,verdict
"VolTargetedBasket(basket=megacap_ai,fallback=IEF,rebalance=W-FRI,target_vol=0.15)",riskmanaged,6.684,0.9,2.63,0.1718,0.5592,-0.642,0.27,1.0,3.92,0.26,0.75,0.0,False,0.8722529550771565,False,robust_candidate
"DrawdownDeRisk(basket=megacap_ai,dd_full=-0.3,dd_start=-0.15,fallback=IEF,rebalance=W-FRI)",riskmanaged,6.665,0.84,2.53,0.1922,1.0906,-0.329,0.58,1.0,3.78,0.27,0.75,0.0,False,0.8185566458968375,False,robust_candidate
"DrawdownDeRisk(basket=megacap_ai,dd_full=-0.3,dd_start=-0.1,fallback=IEF,rebalance=W-FRI)",riskmanaged,6.552,0.85,2.53,0.1861,1.0905,-0.308,0.6,1.0,4.0,0.27,0.62,0.0,False,0.8240055162048318,False,robust_candidate
"VolTargetedBasket(basket=megacap_ai,fallback=IEF,rebalance=W-FRI,target_vol=0.2)",riskmanaged,6.391,0.88,2.62,0.2102,0.761,-0.761,0.28,1.0,4.87,0.26,0.62,0.0,False,0.8521567168424197,False,robust_candidate
BuyAndHold(ticker=ANET),benchmark,6.383,0.13,3.17,0.0252,2.7185,-0.927,0.03,0.915,0.03,1.0,0.75,0.0,False,0.1294283722375625,False,benchmark
"VolTargetedBasket(basket=megacap_ai,fallback=IEF,rebalance=W-FRI,target_vol=0.25)",riskmanaged,6.303,0.85,2.6,0.2337,0.9472,-0.842,0.28,1.0,4.82,0.27,0.62,0.0,False,0.8289375289397315,False,inconclusive
BuyAndHold(ticker=NVDA),benchmark,6.181,0.4,2.88,0.1046,3.1995,-0.988,0.11,0.997,0.03,1.0,0.62,0.0,False,0.399656360541893,False,benchmark
"EqualWeightUniverse(basket=megacap_ai,rebalance=ME)",benchmark,6.071,0.69,2.53,0.2195,1.0905,-0.936,0.23,1.0,3.95,0.27,0.62,0.0,False,0.676423101140384,False,benchmark
"TrendFollowCash(basket=megacap_ai,fallback=BIL,rebalance=W-FRI,sma_window=200)",tsmom,6.03,0.85,2.46,0.2116,0.8898,-0.625,0.34,1.0,7.6,0.29,0.62,0.0,False,0.8095470423711127,False,inconclusive
"CapWeightUniverse(basket=megacap_ai,max_weight=0.25,rebalance=QE)",benchmark,6.007,0.54,2.51,0.1532,1.0106,-0.931,0.16,1.0,3.21,0.33,0.75,0.0,False,0.5262812633731813,False,benchmark
"InverseVolBasket(basket=megacap_ai,rebalance=ME)",riskmanaged,5.904,0.69,2.39,0.2182,0.9467,-0.931,0.23,1.0,4.39,0.32,0.75,0.0,False,0.6799049654965226,False,inconclusive
"DonchianBreakout(entry_window=100,exit_window=20,max_positions=6,regime_filter=False)",breakout,5.827,0.8,2.43,0.2586,0.85,-0.756,0.34,1.0,53.46,0.07,0.75,0.0,False,0.5230661065411071,False,inconclusive
"XSMomentumTopN(basket=None,lookback_days=126,rebalance=ME,skip_days=21,top_n=5,weighting=inverse_vol)",xsmom,5.787,0.77,2.65,0.2663,1.3095,-0.912,0.29,1.0,12.81,0.1,0.62,0.0,False,0.7198833187455856,False,inconclusive
"AbsoluteMomentum(basket=None,fallback=BIL,lookback_days=252,rebalance=ME)",tsmom,5.758,0.92,2.26,0.3079,0.8195,-0.766,0.4,1.0,7.08,0.09,0.75,0.0,False,0.8840195072505544,False,inconclusive
"XSMomentumTopN(basket=None,lookback_days=126,rebalance=ME,skip_days=21,top_n=5,weighting=equal)",xsmom,5.69,0.79,2.59,0.2802,1.3017,-0.917,0.31,1.0,12.18,0.09,0.62,0.0,False,0.745414633878439,False,inconclusive
"QualityGrowth(rebalance=QE,top_n=5,w_accel=0.3,w_growth=0.4,w_margin=0.3)",fundamental,5.679,0.73,2.47,0.2446,1.3356,-0.923,0.27,1.0,6.57,0.11,0.62,0.0,False,0.7107950738014885,False,inconclusive
"XSRiskAdjMomentum(lookback_days=126,rebalance=ME,top_n=5)",xsmom,5.656,0.78,2.44,0.2705,1.1162,-0.918,0.29,1.0,12.22,0.08,0.62,0.0,False,0.7352690919340519,False,inconclusive
"DonchianBreakout(entry_window=55,exit_window=20,max_positions=6,regime_filter=True)",breakout,5.632,0.49,2.54,0.1281,1.1453,-0.598,0.21,1.0,61.71,0.11,0.62,0.0,False,0.2515249900256463,False,inconclusive
"ValuationAwareGrowth(history_days=756,max_ps_own_pct=1.0,rebalance=QE,top_n=8)",fundamental,5.616,0.77,2.35,0.2525,1.0386,-0.933,0.27,1.0,5.7,0.09,0.62,0.0,False,0.7491377607008045,False,inconclusive
"TrendFollowCash(basket=None,fallback=IEF,rebalance=W-FRI,sma_window=250)",tsmom,5.56,0.96,2.14,0.2143,0.5197,-0.571,0.38,1.0,6.9,0.06,0.62,0.0,False,0.9189044471456972,False,inconclusive
"DonchianBreakout(entry_window=55,exit_window=20,max_positions=6,regime_filter=False)",breakout,5.416,0.67,2.41,0.2127,0.9108,-0.875,0.24,1.0,75.71,0.07,0.62,0.0,False,0.38491678014637226,False,inconclusive
"AbsoluteMomentum(basket=None,fallback=BIL,lookback_days=126,rebalance=ME)",tsmom,5.381,0.78,2.35,0.2579,0.8698,-0.959,0.27,1.0,9.31,0.09,0.62,0.0,False,0.7478186274820744,False,inconclusive
"VolCompressionBreakout(entry_window=40,exit_window=20,max_positions=6,squeeze_pct=0.2)",breakout,5.332,0.91,2.16,0.2977,0.6108,-0.822,0.36,1.0,30.65,0.09,0.75,0.0,False,0.668643843748534,False,inconclusive
"TrendFollowCash(basket=None,fallback=IEF,rebalance=W-FRI,sma_window=200)",tsmom,5.315,0.93,2.05,0.2091,0.4897,-0.573,0.36,1.0,7.52,0.06,0.62,0.0,False,0.8879880698849607,False,inconclusive
"XSMomentumTopN(basket=None,lookback_days=63,rebalance=ME,skip_days=21,top_n=3,weighting=equal)",xsmom,5.274,0.68,2.46,0.2449,1.3072,-0.959,0.26,1.0,18.38,0.11,0.62,0.0,False,0.6273179960462466,False,inconclusive
"InverseVolBasket(basket=semiconductors,rebalance=ME)",riskmanaged,5.255,0.73,2.11,0.2482,0.8522,-0.907,0.27,1.0,5.3,0.13,0.62,0.0,False,0.7097174936691111,False,inconclusive
"EqualWeightUniverse(basket=ai_compute,rebalance=ME)",benchmark,5.202,0.53,2.11,0.1835,1.0406,-0.976,0.19,1.0,3.98,0.31,0.75,0.0,False,0.5251561817243245,False,benchmark
"XSMomentumTopN(basket=None,lookback_days=63,rebalance=ME,skip_days=21,top_n=8,weighting=equal)",xsmom,5.19,0.7,2.41,0.2286,1.0467,-0.92,0.25,1.0,15.26,0.07,0.62,0.0,False,0.6453559631321738,False,inconclusive
"XSMomentumTopN(basket=None,lookback_days=126,rebalance=ME,skip_days=21,top_n=3,weighting=equal)",xsmom,5.148,0.84,2.3,0.3214,0.9603,-0.924,0.35,1.0,12.04,0.11,0.62,0.0,False,0.7684843850979383,False,inconclusive
